"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,γ,"R e,out/R e,in",t out/t in,φ r,ke,"fy,out","fy,in","fc,ref",N0,Nexp
36.37,1.03,30.0,1.0,238.7079488,191.6371519,430.3451006,1136.555651,2827.433388,0.852350839,0.0,1.212333333,1.03,1.0,1.0,486.0,470.0,52.74483378,266.0289634,283.0
36.38,0.97,30.06,0.94,224.6807376,180.3161086,404.9968461,1138.84116,2838.754432,0.852116548,0.0,1.210246174,1.031914894,1.0,1.0,486.0,470.0,52.74483378,254.0113972,285.0
36.41,1.29,30.12,1.23,300.3422267,237.5298515,537.8720782,1077.14405,2850.098094,0.86102719,0.0,1.208831341,1.048780488,1.0,1.0,486.0,470.0,52.74483378,314.4191363,348.0
36.41,1.19,30.0,1.2,276.686034,230.7185645,507.4045985,1106.620043,2827.433388,0.856907443,0.0,1.213666667,0.991666667,1.0,1.0,486.0,470.0,52.74483378,301.2756281,348.0
36.37,1.78,30.0,1.0,416.7184425,191.6371519,608.3555944,1136.555651,2827.433388,0.852350839,0.0,1.212333333,1.78,1.0,1.0,486.0,470.0,52.74483378,352.5420633,395.0
36.41,1.74,30.06,0.94,407.572638,180.3161086,587.8887465,1145.701456,2838.754432,0.851414447,0.0,1.211244178,1.85106383,1.0,1.0,512.0,470.0,52.74483378,353.8555945,395.0
39.6,0.9,30.0,1.0,226.4774144,191.6371519,418.1145663,1907.449396,2827.433388,0.782828283,0.0,1.32,0.9,1.0,1.0,524.0,470.0,52.74483378,309.3517278,330.0
39.63,0.87,30.06,0.94,219.0101628,180.3161086,399.3262714,1914.916647,2838.754432,0.78223568,0.0,1.318363273,0.925531915,1.0,1.0,524.0,470.0,52.74483378,300.5118566,335.0
39.64,1.11,30.21,1.14,280.3334231,220.4719459,500.805369,1848.849582,2867.156,0.79086781,0.0,1.312148295,0.973684211,1.0,1.0,524.0,470.0,52.74483378,348.0337921,386.0
39.61,1.14,29.97,1.13,287.8025596,216.7984816,504.6010412,1890.428561,2821.781349,0.785155264,0.0,1.321654988,1.008849558,1.0,1.0,524.0,470.0,52.74483378,352.4141678,395.0
