"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,e,γ,"R e,out/R e,in",t out/t in,φ r,"fy,out","fy,in","fc,ref",L,e/L,N0/kN,Nexp/kN
36.37,1.03,30.0,1.0,238.71,191.64,430.35,1136.56,2827.43,0.8524,0.0,0.0,1.212,1.03,1.0,486.0,470.0,52.74,230.0,0.0,266.03,283.0
36.38,0.97,30.06,0.94,224.68,180.32,405.0,1138.84,2838.75,0.8521,0.0,0.0,1.21,1.032,1.0,486.0,470.0,52.74,230.0,0.0,254.01,285.0
36.41,1.29,30.12,1.23,300.34,237.53,537.87,1077.14,2850.1,0.861,0.0,0.0,1.209,1.049,1.0,486.0,470.0,52.74,230.0,0.0,314.42,348.0
36.41,1.19,30.0,1.2,276.69,230.72,507.4,1106.62,2827.43,0.8569,0.0,0.0,1.214,0.992,1.0,486.0,470.0,52.74,230.0,0.0,301.28,348.0
36.37,1.78,30.0,1.0,416.72,191.64,608.36,1136.56,2827.43,0.8524,0.0,0.0,1.212,1.78,1.0,486.0,470.0,52.74,230.0,0.0,352.54,395.0
36.41,1.74,30.06,0.94,407.57,180.32,587.89,1145.7,2838.75,0.8514,0.0,0.0,1.211,1.851,1.0,512.0,470.0,52.74,230.0,0.0,353.86,395.0
39.6,0.9,30.0,1.0,226.48,191.64,418.11,1907.45,2827.43,0.7828,0.0,0.0,1.32,0.9,1.0,524.0,470.0,52.74,230.0,0.0,309.35,330.0
39.63,0.87,30.06,0.94,219.01,180.32,399.33,1914.92,2838.75,0.7822,0.0,0.0,1.318,0.926,1.0,524.0,470.0,52.74,230.0,0.0,300.51,335.0
39.64,1.11,30.21,1.14,280.33,220.47,500.81,1848.85,2867.16,0.7909,0.0,0.0,1.312,0.974,1.0,524.0,470.0,52.74,230.0,0.0,348.03,386.0
39.61,1.14,29.97,1.13,287.8,216.8,504.6,1890.43,2821.78,0.7852,0.0,0.0,1.322,1.009,1.0,524.0,470.0,52.74,230.0,0.0,352.41,395.0
42.71,0.99,30.03,0.87,268.75,166.53,435.28,2731.09,2833.09,0.7235,0.0,0.0,1.422,1.138,1.0,428.0,452.0,52.74,230.0,0.0,334.35,378.0
42.71,0.94,29.92,0.88,255.03,167.87,422.9,2750.48,2812.37,0.7211,0.0,0.0,1.427,1.068,1.0,428.0,452.0,52.74,230.0,0.0,330.1,385.0
42.69,1.26,29.81,0.89,342.96,169.19,512.14,2764.43,2791.73,0.7191,0.0,0.0,1.432,1.416,1.0,428.0,452.0,52.74,230.0,0.0,369.07,432.0
42.78,1.17,29.75,0.85,318.79,161.16,479.95,2807.86,2780.51,0.7153,0.0,0.0,1.438,1.376,1.0,444.0,452.0,52.74,230.0,0.0,362.49,408.0
