"R e,out","t e,out","R e,in","t e,in",e,"fy,out","fy,in","fc,ref",L/r,ke,N0,Nexp
36.37,1.03,30.0,1.0,0.0,486.0,470.0,52.74,9.594277985,1.0,266.03,283.0
36.38,0.97,30.06,0.94,0.0,486.0,470.0,52.74,9.594535306,1.0,254.01,285.0
36.41,1.29,30.12,1.23,0.0,486.0,470.0,52.74,9.532755984,1.0,314.42,348.0
36.41,1.19,30.0,1.2,0.0,486.0,470.0,52.74,9.563085812,1.0,301.28,348.0
36.37,1.78,30.0,1.0,0.0,486.0,470.0,52.74,9.478170384,1.0,352.54,395.0
36.41,1.74,30.06,0.94,0.0,512.0,470.0,52.74,9.470903974,1.0,353.86,395.0
39.6,0.9,30.0,1.0,0.0,524.0,470.0,52.74,9.126814667,1.0,309.35,330.0
39.63,0.87,30.06,0.94,0.0,524.0,470.0,52.74,9.120369618,1.0,300.51,335.0
39.64,1.11,30.21,1.14,0.0,524.0,470.0,52.74,9.068197494,1.0,348.03,386.0
39.61,1.14,29.97,1.13,0.0,524.0,470.0,52.74,9.093745646,1.0,352.41,395.0
42.71,0.99,30.03,0.87,0.0,428.0,452.0,52.74,8.675390071,1.0,334.35,378.0
42.71,0.94,29.92,0.88,0.0,428.0,452.0,52.74,8.692371105,1.0,330.1,385.0
42.69,1.26,29.81,0.89,0.0,428.0,452.0,52.74,8.661927326,1.0,369.07,432.0
42.78,1.17,29.75,0.85,0.0,444.0,452.0,52.74,8.667437857,1.0,362.49,408.0
49.26,0.59,39.6,0.55,0.0,409.0,474.0,52.74,7.225366243,1.0,275.42,283.0
49.26,0.69,42.79,0.61,0.0,409.0,444.0,52.74,6.993840653,1.0,251.27,299.0
49.24,0.71,39.58,0.67,0.0,409.0,474.0,52.74,7.217896273,1.0,303.45,357.0
49.25,0.7,36.38,0.62,0.0,409.0,512.0,52.74,7.44408035,1.0,337.48,380.0
49.24,0.66,30.15,0.55,0.0,409.0,432.0,52.74,7.890058609,1.0,375.08,443.0
49.24,1.61,30.19,0.56,0.0,409.0,432.0,52.74,7.778572892,1.0,498.45,644.0
42.85,1.55,30.59,1.16,0.0,286.0,216.0,52.74,8.531535297,1.0,307.79,357.0
49.14,1.56,30.55,1.15,0.0,255.0,216.0,52.74,7.771205252,1.0,406.97,477.0
49.1,1.65,36.86,1.19,0.0,255.0,235.0,52.74,7.333795243,1.0,357.37,417.0
55.51,1.64,30.63,1.12,0.0,262.0,216.0,52.74,7.09430997,1.0,543.04,598.0
55.51,1.64,36.91,1.14,0.0,262.0,235.0,52.74,6.761436034,1.0,485.85,551.0
55.51,1.64,42.89,1.56,0.0,262.0,286.0,52.74,6.437705652,1.0,457.69,524.0
171.18,3.82,112.58,2.92,0.0,439.3,396.5,42.0,10.09204313,1.0,4760.83,5448.0
148.0,2.0,88.0,2.0,0.0,290.0,290.0,22.4,10.35029874,1.0,1838.74,2141.0
146.0,4.0,88.0,2.0,0.0,290.0,290.0,22.4,10.35029874,1.0,2333.07,2693.0
51.35,5.9,21.4,2.8,0.0,454.0,425.0,52.28,13.08923447,1.0,1421.25,1415.0
52.6,4.7,21.4,2.8,0.0,416.0,425.0,52.28,13.07921626,1.0,1203.77,1380.0
79.05,3.5,47.8,3.1,0.0,433.0,410.0,52.28,8.386583317,1.0,1764.32,1705.0
